trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2100,False,"{'a': 0.002, 'e': 0.0150255979852764}",30,23,14.637416748883288,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2101,False,"{'a': 0.002, 'e': 0.014995576820477703}",30,16,22.384852340421013,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2102,False,"{'a': 0.002, 'e': 0.014965615638006283}",20,8,19.765660855940588,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2103,False,"{'a': 0.002, 'e': 0.014935714318017369}",30,10,36.63757476836241,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2104,False,"{'a': 0.002, 'e': 0.014905872740905627}",20,13,15.105608577815552,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2105,False,"{'a': 0.002, 'e': 0.014876090787304737}",20,11,15.992333902654527,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2106,False,"{'a': 0.002, 'e': 0.014846368338086832}",20,5,29.279446579339762,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2107,False,"{'a': 0.002, 'e': 0.014816705274362072}",20,11,13.678555913836586,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2108,False,"{'a': 0.002, 'e': 0.014787101477478155}",30,18,22.14149613970319,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2109,False,"{'a': 0.002, 'e': 0.014757556829019875}",20,13,12.554637503677649,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2110,False,"{'a': 0.002, 'e': 0.014728071210808588}",20,11,16.866752228757104,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2111,False,"{'a': 0.002, 'e': 0.014698644504901784}",35,20,23.51883950388948,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2112,False,"{'a': 0.002, 'e': 0.014669276593592582}",20,10,3.3893042351197122,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
2113,False,"{'a': 0.002, 'e': 0.014639967359409327}",25,1,34.06090189389972,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
2114,False,"{'a': 0.002, 'e': 0.01461071668511503}",25,8,27.680752491278028,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
